model,n_tasks,naming,t1_load,regime,passphrase_last,base_temp,probe_k,seed,t2_phrase,t2_task_name,t2_rank,t2_abs_index,cot_len_chars,base_output_truncated,has_fork_point,realized_report_contains,realized_t2_in_cot,report_s,report_k,report_degenerate,access_s,access_k,access_degenerate
gemma2:2b,5,non-ordered,semantic_4,direct,True,1.0,20,27135,WHISKEY ECHO FOXTROT,CACTUS,5,14,132,0,1,1,,19,20,0,,,
gemma2:2b,5,non-ordered,trivial,cot,True,1.0,20,28114,DELTA MIKE JULIET,EMERALD,5,14,401,0,1,0,0,0,20,0,7,20,0
gemma2:2b,5,non-ordered,trivial,direct,True,1.0,20,28114,DELTA MIKE JULIET,EMERALD,5,14,204,0,1,0,,20,20,0,,,
gemma2:2b,5,non-ordered,semantic_2,cot,True,1.0,20,28135,TANGO FOXTROT ROMEO,EGGPLANT,5,14,914,0,1,0,1,20,20,0,11,20,0
gemma2:2b,5,non-ordered,semantic_2,direct,True,1.0,20,28135,TANGO FOXTROT ROMEO,EGGPLANT,5,14,204,0,1,0,,5,20,0,,,
gemma2:2b,5,non-ordered,semantic_4,cot,True,1.0,20,28135,TANGO FOXTROT ROMEO,EGGPLANT,5,14,665,0,1,1,0,19,20,0,8,20,0
gemma2:2b,5,non-ordered,semantic_4,direct,True,1.0,20,28135,TANGO FOXTROT ROMEO,EGGPLANT,5,14,146,0,1,1,,10,20,0,,,
gemma2:2b,5,non-ordered,trivial,cot,True,1.0,20,29114,BRAVO HOTEL JULIET,IGLOO,5,14,518,0,1,0,0,1,20,0,7,20,0
gemma2:2b,5,non-ordered,trivial,direct,True,1.0,20,29114,BRAVO HOTEL JULIET,IGLOO,5,14,133,0,1,1,,17,20,0,,,
gemma2:2b,5,non-ordered,semantic_2,cot,True,1.0,20,29135,PAPA GOLF CHARLIE,SAXOPHONE,5,15,795,0,1,0,0,0,20,0,10,20,0
gemma2:2b,5,non-ordered,semantic_2,direct,True,1.0,20,29135,PAPA GOLF CHARLIE,SAXOPHONE,5,15,133,0,1,0,,13,20,0,,,
gemma2:2b,5,non-ordered,semantic_4,cot,True,1.0,20,29135,PAPA GOLF CHARLIE,SAXOPHONE,5,15,923,0,1,0,0,0,20,0,10,20,0
gemma2:2b,5,non-ordered,semantic_4,direct,True,1.0,20,29135,PAPA GOLF CHARLIE,SAXOPHONE,5,15,139,0,1,1,,19,20,0,,,
gemma2:2b,5,non-ordered,trivial,cot,True,1.0,20,30114,LIMA VICTOR UNIFORM,BLIZZARD,5,13,471,0,1,1,1,20,20,0,9,20,0
gemma2:2b,5,non-ordered,trivial,direct,True,1.0,20,30114,LIMA VICTOR UNIFORM,BLIZZARD,5,13,131,0,1,1,,20,20,0,,,
gemma2:2b,5,non-ordered,semantic_2,cot,True,1.0,20,30135,ECHO MIKE UNIFORM,PELICAN,5,13,426,0,1,1,0,17,20,0,7,20,0
gemma2:2b,5,non-ordered,semantic_2,direct,True,1.0,20,30135,ECHO MIKE UNIFORM,PELICAN,5,13,132,0,1,1,,16,20,0,,,
gemma2:2b,5,non-ordered,semantic_4,cot,True,1.0,20,30135,ECHO MIKE UNIFORM,PELICAN,5,13,588,0,1,0,0,0,20,0,8,20,0
gemma2:2b,5,non-ordered,semantic_4,direct,True,1.0,20,30135,ECHO MIKE UNIFORM,PELICAN,5,13,137,0,1,0,,20,20,0,,,
gemma2:2b,5,non-ordered,trivial,cot,True,1.0,20,31114,CHARLIE QUEBEC KILO,ICEBERG,5,14,346,0,1,0,0,1,20,0,7,20,0
gemma2:2b,5,non-ordered,trivial,direct,True,1.0,20,31114,CHARLIE QUEBEC KILO,ICEBERG,5,14,134,0,1,1,,20,20,0,,,
gemma2:2b,5,non-ordered,semantic_2,cot,True,1.0,20,31135,XRAY KILO PAPA,XYLOPHONE,5,13,683,0,1,1,0,5,20,0,4,20,0
gemma2:2b,5,non-ordered,semantic_2,direct,True,1.0,20,31135,XRAY KILO PAPA,XYLOPHONE,5,13,342,0,1,1,,19,20,0,,,
gemma2:2b,5,non-ordered,semantic_4,cot,True,1.0,20,31135,XRAY KILO PAPA,XYLOPHONE,5,13,594,0,1,1,0,18,20,0,9,20,0
gemma2:2b,5,non-ordered,semantic_4,direct,True,1.0,20,31135,XRAY KILO PAPA,XYLOPHONE,5,13,260,0,1,1,,19,20,0,,,
gemma2:2b,5,non-ordered,trivial,cot,True,1.0,20,32114,TANGO ZULU DELTA,ZEPPELIN,5,15,632,0,1,0,0,0,20,0,11,20,0
gemma2:2b,5,non-ordered,trivial,direct,True,1.0,20,32114,TANGO ZULU DELTA,ZEPPELIN,5,15,139,0,1,1,,20,20,0,,,
gemma2:2b,5,non-ordered,semantic_2,cot,True,1.0,20,32135,ROMEO BRAVO SIERRA,TULIP,5,12,865,0,1,1,1,20,20,0,13,20,0
gemma2:2b,5,non-ordered,semantic_2,direct,True,1.0,20,32135,ROMEO BRAVO SIERRA,TULIP,5,12,130,0,1,1,,20,20,0,,,
gemma2:2b,5,non-ordered,semantic_4,cot,True,1.0,20,32135,ROMEO BRAVO SIERRA,TULIP,5,12,1367,0,1,1,1,20,20,0,13,20,0
gemma2:2b,5,non-ordered,semantic_4,direct,True,1.0,20,32135,ROMEO BRAVO SIERRA,TULIP,5,12,188,0,1,0,,19,20,0,,,
gemma2:2b,5,non-ordered,trivial,cot,True,1.0,20,33114,INDIA OSCAR JULIET,VOLCANO,5,13,624,0,1,1,0,18,20,0,11,20,0
gemma2:2b,5,non-ordered,trivial,direct,True,1.0,20,33114,INDIA OSCAR JULIET,VOLCANO,5,13,123,0,1,1,,20,20,0,,,
gemma2:2b,5,non-ordered,semantic_2,cot,True,1.0,20,33135,TANGO YANKEE NOVEMBER,QUIVER,5,12,899,0,1,1,1,20,20,0,2,20,0
gemma2:2b,5,non-ordered,semantic_2,direct,True,1.0,20,33135,TANGO YANKEE NOVEMBER,QUIVER,5,12,129,0,1,1,,12,20,0,,,
gemma2:2b,5,non-ordered,semantic_4,cot,True,1.0,20,33135,TANGO YANKEE NOVEMBER,QUIVER,5,12,1053,0,1,0,0,0,20,0,10,20,0
gemma2:2b,5,non-ordered,semantic_4,direct,True,1.0,20,33135,TANGO YANKEE NOVEMBER,QUIVER,5,12,88,0,1,0,,6,20,0,,,
gemma2:2b,5,non-ordered,trivial,cot,True,1.0,20,34114,JULIET XRAY NOVEMBER,ALMOND,5,12,963,0,1,1,1,18,20,0,8,20,0
gemma2:2b,5,non-ordered,trivial,direct,True,1.0,20,34114,JULIET XRAY NOVEMBER,ALMOND,5,12,131,0,1,1,,20,20,0,,,
gemma2:2b,5,non-ordered,semantic_2,cot,True,1.0,20,34135,NOVEMBER JULIET SIERRA,ROOSTER,5,14,479,0,1,0,0,2,20,0,5,20,0
gemma2:2b,5,non-ordered,semantic_2,direct,True,1.0,20,34135,NOVEMBER JULIET SIERRA,ROOSTER,5,14,203,0,1,1,,19,20,0,,,
gemma2:2b,5,non-ordered,semantic_4,cot,True,1.0,20,34135,NOVEMBER JULIET SIERRA,ROOSTER,5,14,675,0,1,0,0,0,20,0,4,20,0
gemma2:2b,5,non-ordered,semantic_4,direct,True,1.0,20,34135,NOVEMBER JULIET SIERRA,ROOSTER,5,14,997,0,1,0,,11,20,0,,,
gemma2:2b,5,non-ordered,trivial,cot,True,1.0,20,35114,TANGO NOVEMBER WHISKEY,SCARECROW,5,14,433,0,1,0,0,0,20,0,4,20,0
gemma2:2b,5,non-ordered,trivial,direct,True,1.0,20,35114,TANGO NOVEMBER WHISKEY,SCARECROW,5,14,270,0,1,1,,19,20,0,,,
gemma2:2b,5,non-ordered,semantic_2,cot,True,1.0,20,35135,OSCAR ALPHA XRAY,WATERMELON,5,11,445,0,1,0,0,0,20,0,14,20,0
gemma2:2b,5,non-ordered,semantic_2,direct,True,1.0,20,35135,OSCAR ALPHA XRAY,WATERMELON,5,11,200,0,1,0,,18,20,0,,,
gemma2:2b,5,non-ordered,semantic_4,cot,True,1.0,20,35135,OSCAR ALPHA XRAY,WATERMELON,5,11,1031,0,1,1,1,20,20,0,10,20,0
gemma2:2b,5,non-ordered,semantic_4,direct,True,1.0,20,35135,OSCAR ALPHA XRAY,WATERMELON,5,11,148,0,1,1,,16,20,0,,,
gemma2:2b,5,non-ordered,trivial,cot,True,1.0,20,36114,ECHO SIERRA HOTEL,DUMPLING,5,14,649,0,1,1,1,20,20,0,11,20,0
gemma2:2b,5,non-ordered,trivial,direct,True,1.0,20,36114,ECHO SIERRA HOTEL,DUMPLING,5,14,137,0,1,1,,19,20,0,,,
gemma2:2b,5,non-ordered,semantic_2,cot,True,1.0,20,36135,FOXTROT PAPA MIKE,DANDELION,5,15,618,0,1,0,0,3,20,0,7,20,0
gemma2:2b,5,non-ordered,semantic_2,direct,True,1.0,20,36135,FOXTROT PAPA MIKE,DANDELION,5,15,142,0,1,1,,14,20,0,,,
gemma2:2b,5,non-ordered,semantic_4,cot,True,1.0,20,36135,FOXTROT PAPA MIKE,DANDELION,5,15,1712,0,1,1,1,20,20,0,10,20,0
gemma2:2b,5,non-ordered,semantic_4,direct,True,1.0,20,36135,FOXTROT PAPA MIKE,DANDELION,5,15,134,0,1,1,,14,20,0,,,
gemma2:2b,5,non-ordered,trivial,cot,True,1.0,20,37114,DELTA TANGO FOXTROT,KETTLE,5,15,543,0,1,1,1,20,20,0,10,20,0
gemma2:2b,5,non-ordered,trivial,direct,True,1.0,20,37114,DELTA TANGO FOXTROT,KETTLE,5,15,137,0,1,1,,18,20,0,,,
gemma2:2b,5,non-ordered,semantic_2,cot,True,1.0,20,37135,VICTOR INDIA DELTA,ALMOND,5,15,489,0,1,0,0,0,20,0,5,20,0
gemma2:2b,5,non-ordered,semantic_2,direct,True,1.0,20,37135,VICTOR INDIA DELTA,ALMOND,5,15,131,0,1,1,,17,20,0,,,
gemma2:2b,5,non-ordered,semantic_4,cot,True,1.0,20,37135,VICTOR INDIA DELTA,ALMOND,5,15,522,0,1,0,0,3,20,0,7,20,0
gemma2:2b,5,non-ordered,semantic_4,direct,True,1.0,20,37135,VICTOR INDIA DELTA,ALMOND,5,15,138,0,1,1,,14,20,0,,,
gemma2:2b,5,non-ordered,trivial,cot,True,1.0,20,38114,FOXTROT OSCAR GOLF,OBELISK,5,12,318,0,1,0,0,7,20,0,9,20,0
gemma2:2b,5,non-ordered,trivial,direct,True,1.0,20,38114,FOXTROT OSCAR GOLF,OBELISK,5,12,129,0,1,0,,20,20,0,,,
gemma2:2b,5,non-ordered,semantic_2,cot,True,1.0,20,38135,UNIFORM DELTA GOLF,OBELISK,5,14,2237,0,1,1,0,17,20,0,13,20,0
gemma2:2b,5,non-ordered,semantic_2,direct,True,1.0,20,38135,UNIFORM DELTA GOLF,OBELISK,5,14,142,0,1,1,,12,20,0,,,
gemma2:2b,5,non-ordered,semantic_4,cot,True,1.0,20,38135,UNIFORM DELTA GOLF,OBELISK,5,14,993,0,1,0,0,14,20,0,8,20,0
gemma2:2b,5,non-ordered,semantic_4,direct,True,1.0,20,38135,UNIFORM DELTA GOLF,OBELISK,5,14,142,0,1,1,,18,20,0,,,
gemma2:2b,5,non-ordered,trivial,cot,True,1.0,20,39114,ZULU QUEBEC DELTA,RAVIOLI,5,12,1304,0,1,1,1,20,20,0,11,20,0
gemma2:2b,5,non-ordered,trivial,direct,True,1.0,20,39114,ZULU QUEBEC DELTA,RAVIOLI,5,12,140,0,1,1,,20,20,0,,,
gemma2:2b,5,non-ordered,semantic_2,cot,True,1.0,20,39135,OSCAR XRAY SIERRA,ESPRESSO,5,14,1130,0,1,0,0,0,20,0,4,20,0
gemma2:2b,5,non-ordered,semantic_2,direct,True,1.0,20,39135,OSCAR XRAY SIERRA,ESPRESSO,5,14,130,0,1,1,,8,20,0,,,
gemma2:2b,5,non-ordered,semantic_4,cot,True,1.0,20,39135,OSCAR XRAY SIERRA,ESPRESSO,5,14,700,0,1,1,1,13,20,0,11,20,0
gemma2:2b,5,non-ordered,semantic_4,direct,True,1.0,20,39135,OSCAR XRAY SIERRA,ESPRESSO,5,14,132,0,1,1,,19,20,0,,,
gemma2:2b,5,non-ordered,trivial,cot,True,1.0,20,40114,CHARLIE MIKE QUEBEC,MARBLE,5,13,357,0,1,0,0,0,20,0,7,20,0
gemma2:2b,5,non-ordered,trivial,direct,True,1.0,20,40114,CHARLIE MIKE QUEBEC,MARBLE,5,13,129,0,1,1,,20,20,0,,,
gemma2:2b,5,non-ordered,semantic_2,cot,True,1.0,20,40135,QUEBEC YANKEE JULIET,GONDOLA,5,13,429,0,1,0,0,12,20,0,6,20,0
gemma2:2b,5,non-ordered,semantic_2,direct,True,1.0,20,40135,QUEBEC YANKEE JULIET,GONDOLA,5,13,190,0,1,1,,5,20,0,,,
gemma2:2b,5,non-ordered,semantic_4,cot,True,1.0,20,40135,QUEBEC YANKEE JULIET,GONDOLA,5,13,1532,0,1,1,1,20,20,0,8,20,0
gemma2:2b,5,non-ordered,semantic_4,direct,True,1.0,20,40135,QUEBEC YANKEE JULIET,GONDOLA,5,13,131,0,1,1,,16,20,0,,,
gemma2:2b,5,non-ordered,trivial,cot,True,1.0,20,41114,VICTOR TANGO ALPHA,NECTARINE,5,13,327,0,1,0,0,3,20,0,14,20,0
gemma2:2b,5,non-ordered,trivial,direct,True,1.0,20,41114,VICTOR TANGO ALPHA,NECTARINE,5,13,133,0,1,1,,19,20,0,,,
gemma2:2b,5,non-ordered,semantic_2,cot,True,1.0,20,41135,ECHO PAPA BRAVO,ZEPPELIN,5,14,678,0,1,1,0,16,20,0,,,
gemma2:2b,5,non-ordered,semantic_2,direct,True,1.0,20,41135,ECHO PAPA BRAVO,ZEPPELIN,5,14,132,0,1,1,,18,20,0,,,
gemma2:2b,5,non-ordered,semantic_4,cot,True,1.0,20,41135,ECHO PAPA BRAVO,ZEPPELIN,5,14,1387,0,1,1,0,20,20,0,,,
gemma2:2b,5,non-ordered,semantic_4,direct,True,1.0,20,41135,ECHO PAPA BRAVO,ZEPPELIN,5,14,141,0,1,1,,17,20,0,,,
gemma2:2b,5,non-ordered,trivial,cot,True,1.0,20,42114,FOXTROT DELTA TANGO,LULLABY,5,15,674,0,1,0,1,20,20,0,,,
