model,n_tasks,naming,t1_load,regime,passphrase_last,base_temp,probe_k,seed,t2_phrase,t2_task_name,t2_rank,t2_abs_index,cot_len_chars,base_output_truncated,has_fork_point,realized_report_contains,realized_t2_in_cot,t1_correct,report_s,report_k,report_degenerate,access_s,access_k,access_degenerate
qwen2.5:7b,5,non-ordered,math_bench_3,cot,True,1.0,20,19149,VICTOR ZULU UNIFORM,VOLCANO,5,8,976,0,1,1,1,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_3,direct,True,1.0,20,19149,VICTOR ZULU UNIFORM,VOLCANO,5,8,124,0,1,1,,0.25,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,cot,True,1.0,20,19149,VICTOR ZULU UNIFORM,VOLCANO,5,8,1984,0,1,0,1,0.0,3,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,direct,True,1.0,20,19149,VICTOR ZULU UNIFORM,VOLCANO,5,8,126,0,1,1,,0.5,20,20,0,,,
qwen2.5:7b,5,non-ordered,trivial,cot,True,1.0,20,20114,WHISKEY FOXTROT NOVEMBER,GLACIER,5,12,522,0,1,1,1,0.75,20,20,0,,,
qwen2.5:7b,5,non-ordered,trivial,direct,True,1.0,20,20114,WHISKEY FOXTROT NOVEMBER,GLACIER,5,12,145,0,1,1,,1.0,18,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_2,cot,True,1.0,20,20149,QUEBEC KILO WHISKEY,ABACUS,5,15,1009,0,1,0,0,1.0,0,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,direct,True,1.0,20,20149,QUEBEC KILO WHISKEY,ABACUS,5,15,129,0,1,1,,0.5,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_3,cot,True,1.0,20,20149,QUEBEC KILO WHISKEY,ABACUS,5,15,1811,0,1,1,1,0.5,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_3,direct,True,1.0,20,20149,QUEBEC KILO WHISKEY,ABACUS,5,15,128,0,1,1,,0.25,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,cot,True,1.0,20,20149,QUEBEC KILO WHISKEY,ABACUS,5,15,1912,0,1,1,1,0.75,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,direct,True,1.0,20,20149,QUEBEC KILO WHISKEY,ABACUS,5,15,131,0,1,1,,0.0,20,20,0,,,
qwen2.5:7b,5,non-ordered,trivial,cot,True,1.0,20,21114,BRAVO GOLF LIMA,ZUCCHINI,5,13,548,0,1,1,1,0.75,20,20,1,,,
qwen2.5:7b,5,non-ordered,trivial,direct,True,1.0,20,21114,BRAVO GOLF LIMA,ZUCCHINI,5,13,134,0,1,1,,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,cot,True,1.0,20,21149,UNIFORM JULIET CHARLIE,OPAL,5,12,936,0,1,1,1,0.75,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_2,direct,True,1.0,20,21149,UNIFORM JULIET CHARLIE,OPAL,5,12,129,0,1,1,,0.5,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_3,cot,True,1.0,20,21149,UNIFORM JULIET CHARLIE,OPAL,5,12,1475,0,1,1,1,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_3,direct,True,1.0,20,21149,UNIFORM JULIET CHARLIE,OPAL,5,12,127,0,1,1,,0.5,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,cot,True,1.0,20,21149,UNIFORM JULIET CHARLIE,OPAL,5,12,1048,0,1,1,1,0.5,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_4,direct,True,1.0,20,21149,UNIFORM JULIET CHARLIE,OPAL,5,12,126,0,1,1,,0.25,19,20,0,,,
qwen2.5:7b,5,non-ordered,trivial,cot,True,1.0,20,22114,GOLF MIKE WHISKEY,RHUBARB,5,12,405,0,1,1,1,0.75,20,20,0,,,
qwen2.5:7b,5,non-ordered,trivial,direct,True,1.0,20,22114,GOLF MIKE WHISKEY,RHUBARB,5,12,138,0,1,1,,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,cot,True,1.0,20,22149,PAPA UNIFORM INDIA,QUARRY,5,14,1045,0,1,1,1,0.75,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_2,direct,True,1.0,20,22149,PAPA UNIFORM INDIA,QUARRY,5,14,123,0,1,1,,0.25,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_3,cot,True,1.0,20,22149,PAPA UNIFORM INDIA,QUARRY,5,14,1267,0,1,1,1,0.75,18,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_3,direct,True,1.0,20,22149,PAPA UNIFORM INDIA,QUARRY,5,14,125,0,1,1,,0.0,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,cot,True,1.0,20,22149,PAPA UNIFORM INDIA,QUARRY,5,14,2090,0,1,1,1,0.5,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_4,direct,True,1.0,20,22149,PAPA UNIFORM INDIA,QUARRY,5,14,124,0,1,1,,0.25,20,20,0,,,
qwen2.5:7b,5,non-ordered,trivial,cot,True,1.0,20,23114,KILO ALPHA VICTOR,QUIVER,5,10,515,0,1,1,1,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,trivial,direct,True,1.0,20,23114,KILO ALPHA VICTOR,QUIVER,5,10,136,0,1,1,,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,cot,True,1.0,20,23149,OSCAR UNIFORM PAPA,CATAPULT,5,9,1493,0,1,1,1,0.75,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_2,direct,True,1.0,20,23149,OSCAR UNIFORM PAPA,CATAPULT,5,9,130,0,1,1,,0.75,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_3,cot,True,1.0,20,23149,OSCAR UNIFORM PAPA,CATAPULT,5,9,1125,0,1,1,1,0.75,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_3,direct,True,1.0,20,23149,OSCAR UNIFORM PAPA,CATAPULT,5,9,129,0,1,0,,0.25,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,cot,True,1.0,20,23149,OSCAR UNIFORM PAPA,CATAPULT,5,9,1056,0,1,1,1,0.75,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_4,direct,True,1.0,20,23149,OSCAR UNIFORM PAPA,CATAPULT,5,9,130,0,1,1,,0.5,20,20,0,,,
qwen2.5:7b,5,non-ordered,trivial,cot,True,1.0,20,24114,WHISKEY UNIFORM ECHO,QUARRY,5,14,578,0,1,1,1,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,trivial,direct,True,1.0,20,24114,WHISKEY UNIFORM ECHO,QUARRY,5,14,141,0,1,1,,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,cot,True,1.0,20,24149,INDIA VICTOR HOTEL,VULTURE,5,10,767,0,1,0,0,1.0,0,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,direct,True,1.0,20,24149,INDIA VICTOR HOTEL,VULTURE,5,10,124,0,1,1,,0.25,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_3,cot,True,1.0,20,24149,INDIA VICTOR HOTEL,VULTURE,5,10,1141,0,1,1,1,0.5,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_3,direct,True,1.0,20,24149,INDIA VICTOR HOTEL,VULTURE,5,10,127,0,1,1,,0.0,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,cot,True,1.0,20,24149,INDIA VICTOR HOTEL,VULTURE,5,10,1416,0,1,0,0,0.75,0,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_4,direct,True,1.0,20,24149,INDIA VICTOR HOTEL,VULTURE,5,10,124,0,1,1,,0.25,20,20,0,,,
qwen2.5:7b,5,non-ordered,trivial,cot,True,1.0,20,25114,HOTEL ROMEO NOVEMBER,KUMQUAT,5,11,490,0,1,1,1,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,trivial,direct,True,1.0,20,25114,HOTEL ROMEO NOVEMBER,KUMQUAT,5,11,138,0,1,1,,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,cot,True,1.0,20,25149,ZULU DELTA ALPHA,TROMBONE,5,15,958,0,1,0,0,1.0,0,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,direct,True,1.0,20,25149,ZULU DELTA ALPHA,TROMBONE,5,15,128,0,1,1,,0.0,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_3,cot,True,1.0,20,25149,ZULU DELTA ALPHA,TROMBONE,5,15,1301,0,1,1,1,0.75,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_3,direct,True,1.0,20,25149,ZULU DELTA ALPHA,TROMBONE,5,15,125,0,1,1,,0.25,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,cot,True,1.0,20,25149,ZULU DELTA ALPHA,TROMBONE,5,15,1792,0,1,0,0,0.75,0,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_4,direct,True,1.0,20,25149,ZULU DELTA ALPHA,TROMBONE,5,15,125,0,1,1,,0.0,20,20,0,,,
qwen2.5:7b,5,non-ordered,trivial,cot,True,1.0,20,26114,BRAVO JULIET XRAY,EMERALD,5,15,534,0,1,1,1,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,trivial,direct,True,1.0,20,26114,BRAVO JULIET XRAY,EMERALD,5,15,138,0,1,1,,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,cot,True,1.0,20,26149,CHARLIE ZULU TANGO,QUARRY,5,14,1182,0,1,0,0,1.0,9,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_2,direct,True,1.0,20,26149,CHARLIE ZULU TANGO,QUARRY,5,14,128,0,1,1,,0.5,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_3,cot,True,1.0,20,26149,CHARLIE ZULU TANGO,QUARRY,5,14,1432,0,1,1,1,0.25,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_3,direct,True,1.0,20,26149,CHARLIE ZULU TANGO,QUARRY,5,14,129,0,1,1,,0.25,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,cot,True,1.0,20,26149,CHARLIE ZULU TANGO,QUARRY,5,14,1593,0,1,0,0,0.25,0,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_4,direct,True,1.0,20,26149,CHARLIE ZULU TANGO,QUARRY,5,14,127,0,1,1,,0.25,20,20,0,,,
qwen2.5:7b,5,non-ordered,trivial,cot,True,1.0,20,27114,VICTOR XRAY LIMA,LANTERN,5,14,433,0,1,1,1,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,trivial,direct,True,1.0,20,27114,VICTOR XRAY LIMA,LANTERN,5,14,131,0,1,1,,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,cot,True,1.0,20,27149,GOLF XRAY TANGO,ALMOND,5,10,1545,0,1,1,1,0.0,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_2,direct,True,1.0,20,27149,GOLF XRAY TANGO,ALMOND,5,10,124,0,1,1,,0.0,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_3,cot,True,1.0,20,27149,GOLF XRAY TANGO,ALMOND,5,10,1349,0,1,0,0,0.75,9,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_3,direct,True,1.0,20,27149,GOLF XRAY TANGO,ALMOND,5,10,123,0,1,1,,0.25,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,cot,True,1.0,20,27149,GOLF XRAY TANGO,ALMOND,5,10,1938,0,1,1,1,0.5,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_4,direct,True,1.0,20,27149,GOLF XRAY TANGO,ALMOND,5,10,123,0,1,1,,0.0,20,20,0,,,
qwen2.5:7b,5,non-ordered,trivial,cot,True,1.0,20,28114,DELTA MIKE JULIET,EMERALD,5,14,476,0,1,1,1,0.75,20,20,1,,,
qwen2.5:7b,5,non-ordered,trivial,direct,True,1.0,20,28114,DELTA MIKE JULIET,EMERALD,5,14,138,0,1,1,,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,cot,True,1.0,20,28149,FOXTROT NOVEMBER JULIET,JASMINE,5,13,783,0,1,1,1,0.75,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,direct,True,1.0,20,28149,FOXTROT NOVEMBER JULIET,JASMINE,5,13,132,0,1,1,,0.5,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_3,cot,True,1.0,20,28149,FOXTROT NOVEMBER JULIET,JASMINE,5,13,1255,0,1,1,1,0.75,10,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_3,direct,True,1.0,20,28149,FOXTROT NOVEMBER JULIET,JASMINE,5,13,131,0,1,1,,0.5,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,cot,True,1.0,20,28149,FOXTROT NOVEMBER JULIET,JASMINE,5,13,1830,0,1,0,0,0.5,0,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_4,direct,True,1.0,20,28149,FOXTROT NOVEMBER JULIET,JASMINE,5,13,131,0,1,1,,0.0,20,20,0,,,
qwen2.5:7b,5,non-ordered,trivial,cot,True,1.0,20,29114,BRAVO HOTEL JULIET,IGLOO,5,14,353,0,1,1,1,0.5,20,20,1,,,
qwen2.5:7b,5,non-ordered,trivial,direct,True,1.0,20,29114,BRAVO HOTEL JULIET,IGLOO,5,14,139,0,1,1,,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,cot,True,1.0,20,29149,BRAVO KILO WHISKEY,WALNUT,5,15,1012,0,1,1,1,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,direct,True,1.0,20,29149,BRAVO KILO WHISKEY,WALNUT,5,15,132,0,1,1,,0.5,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_3,cot,True,1.0,20,29149,BRAVO KILO WHISKEY,WALNUT,5,15,1112,0,1,1,1,0.25,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_3,direct,True,1.0,20,29149,BRAVO KILO WHISKEY,WALNUT,5,15,126,0,1,1,,0.5,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,cot,True,1.0,20,29149,BRAVO KILO WHISKEY,WALNUT,5,15,1937,0,1,1,1,0.25,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,direct,True,1.0,20,29149,BRAVO KILO WHISKEY,WALNUT,5,15,92,0,1,0,,0.5,20,20,0,,,
qwen2.5:7b,5,non-ordered,trivial,cot,True,1.0,20,30114,LIMA VICTOR UNIFORM,BLIZZARD,5,13,642,0,1,1,1,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,trivial,direct,True,1.0,20,30114,LIMA VICTOR UNIFORM,BLIZZARD,5,13,139,0,1,1,,1.0,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_2,cot,True,1.0,20,30149,WHISKEY ZULU HOTEL,LANTERN,5,15,945,0,1,0,0,0.5,0,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_2,direct,True,1.0,20,30149,WHISKEY ZULU HOTEL,LANTERN,5,15,131,0,1,1,,0.25,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_3,cot,True,1.0,20,30149,WHISKEY ZULU HOTEL,LANTERN,5,15,1109,0,1,1,1,0.75,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_3,direct,True,1.0,20,30149,WHISKEY ZULU HOTEL,LANTERN,5,15,132,0,1,1,,0.0,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,cot,True,1.0,20,30149,WHISKEY ZULU HOTEL,LANTERN,5,15,1719,0,1,1,1,0.25,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,direct,True,1.0,20,30149,WHISKEY ZULU HOTEL,LANTERN,5,15,134,0,1,1,,0.25,20,20,0,,,
qwen2.5:7b,5,non-ordered,trivial,cot,True,1.0,20,31114,CHARLIE QUEBEC KILO,ICEBERG,5,14,343,0,1,1,1,0.5,20,20,1,,,
qwen2.5:7b,5,non-ordered,trivial,direct,True,1.0,20,31114,CHARLIE QUEBEC KILO,ICEBERG,5,14,142,0,1,1,,1.0,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_2,cot,True,1.0,20,31149,JULIET LIMA UNIFORM,WALRUS,5,14,1133,0,1,1,0,0.75,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,direct,True,1.0,20,31149,JULIET LIMA UNIFORM,WALRUS,5,14,128,0,1,1,,0.0,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_3,cot,True,1.0,20,31149,JULIET LIMA UNIFORM,WALRUS,5,14,1388,0,1,1,1,0.5,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_3,direct,True,1.0,20,31149,JULIET LIMA UNIFORM,WALRUS,5,14,129,0,1,1,,0.0,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,cot,True,1.0,20,31149,JULIET LIMA UNIFORM,WALRUS,5,14,1359,0,1,1,1,0.25,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_4,direct,True,1.0,20,31149,JULIET LIMA UNIFORM,WALRUS,5,14,126,0,1,1,,0.0,20,20,0,,,
qwen2.5:7b,5,non-ordered,trivial,cot,True,1.0,20,32114,TANGO ZULU DELTA,ZEPPELIN,5,15,421,0,1,1,1,1.0,20,20,0,,,
qwen2.5:7b,5,non-ordered,trivial,direct,True,1.0,20,32114,TANGO ZULU DELTA,ZEPPELIN,5,15,138,0,1,1,,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,cot,True,1.0,20,32149,XRAY CHARLIE GOLF,EMERALD,5,12,1290,0,1,1,1,0.75,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,direct,True,1.0,20,32149,XRAY CHARLIE GOLF,EMERALD,5,12,125,0,1,1,,0.0,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_3,cot,True,1.0,20,32149,XRAY CHARLIE GOLF,EMERALD,5,12,1413,0,1,1,1,1.0,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_3,direct,True,1.0,20,32149,XRAY CHARLIE GOLF,EMERALD,5,12,126,0,1,1,,0.25,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,cot,True,1.0,20,32149,XRAY CHARLIE GOLF,EMERALD,5,12,938,0,1,0,1,0.25,15,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,direct,True,1.0,20,32149,XRAY CHARLIE GOLF,EMERALD,5,12,125,0,1,1,,0.0,20,20,0,,,
qwen2.5:7b,5,non-ordered,trivial,cot,True,1.0,20,33114,INDIA OSCAR JULIET,VOLCANO,5,13,715,0,1,1,1,0.5,20,20,1,,,
qwen2.5:7b,5,non-ordered,trivial,direct,True,1.0,20,33114,INDIA OSCAR JULIET,VOLCANO,5,13,137,0,1,1,,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,cot,True,1.0,20,33149,MIKE SIERRA XRAY,FLAMINGO,5,8,833,0,1,1,1,0.5,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,direct,True,1.0,20,33149,MIKE SIERRA XRAY,FLAMINGO,5,8,124,0,1,1,,0.5,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_3,cot,True,1.0,20,33149,MIKE SIERRA XRAY,FLAMINGO,5,8,979,0,1,1,1,1.0,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_3,direct,True,1.0,20,33149,MIKE SIERRA XRAY,FLAMINGO,5,8,125,0,1,1,,0.5,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,cot,True,1.0,20,33149,MIKE SIERRA XRAY,FLAMINGO,5,8,2484,1,0,0,0,0.0,,,,,,
qwen2.5:7b,5,non-ordered,math_bench_4,direct,True,1.0,20,33149,MIKE SIERRA XRAY,FLAMINGO,5,8,125,0,1,1,,0.0,20,20,0,,,
qwen2.5:7b,5,non-ordered,trivial,cot,True,1.0,20,34114,JULIET XRAY NOVEMBER,ALMOND,5,12,426,0,1,1,1,1.0,20,20,0,,,
qwen2.5:7b,5,non-ordered,trivial,direct,True,1.0,20,34114,JULIET XRAY NOVEMBER,ALMOND,5,12,137,0,1,1,,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,cot,True,1.0,20,34149,CHARLIE JULIET BRAVO,WATERMELON,5,13,836,0,1,1,0,0.75,18,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_2,direct,True,1.0,20,34149,CHARLIE JULIET BRAVO,WATERMELON,5,13,132,0,1,1,,0.5,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_3,cot,True,1.0,20,34149,CHARLIE JULIET BRAVO,WATERMELON,5,13,1261,0,1,1,1,0.75,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_3,direct,True,1.0,20,34149,CHARLIE JULIET BRAVO,WATERMELON,5,13,135,0,1,1,,0.25,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,cot,True,1.0,20,34149,CHARLIE JULIET BRAVO,WATERMELON,5,13,1705,0,1,1,0,0.25,1,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,direct,True,1.0,20,34149,CHARLIE JULIET BRAVO,WATERMELON,5,13,132,0,1,1,,0.25,20,20,0,,,
qwen2.5:7b,5,non-ordered,trivial,cot,True,1.0,20,35114,TANGO NOVEMBER WHISKEY,SCARECROW,5,14,570,0,1,1,1,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,trivial,direct,True,1.0,20,35114,TANGO NOVEMBER WHISKEY,SCARECROW,5,14,142,0,1,1,,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,cot,True,1.0,20,35149,MIKE YANKEE ROMEO,NUTMEG,5,15,1779,0,1,1,1,0.5,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,direct,True,1.0,20,35149,MIKE YANKEE ROMEO,NUTMEG,5,15,127,0,1,1,,0.25,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_3,cot,True,1.0,20,35149,MIKE YANKEE ROMEO,NUTMEG,5,15,945,0,1,0,0,0.5,9,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_3,direct,True,1.0,20,35149,MIKE YANKEE ROMEO,NUTMEG,5,15,126,0,1,1,,0.5,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,cot,True,1.0,20,35149,MIKE YANKEE ROMEO,NUTMEG,5,15,1979,0,1,0,0,0.5,0,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,direct,True,1.0,20,35149,MIKE YANKEE ROMEO,NUTMEG,5,15,124,0,1,1,,0.25,20,20,0,,,
qwen2.5:7b,5,non-ordered,trivial,cot,True,1.0,20,36114,ECHO SIERRA HOTEL,DUMPLING,5,14,447,0,1,1,1,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,trivial,direct,True,1.0,20,36114,ECHO SIERRA HOTEL,DUMPLING,5,14,145,0,1,1,,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,cot,True,1.0,20,36149,HOTEL VICTOR ROMEO,KETTLE,5,14,877,0,1,1,0,0.75,16,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_2,direct,True,1.0,20,36149,HOTEL VICTOR ROMEO,KETTLE,5,14,129,0,1,1,,0.25,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_3,cot,True,1.0,20,36149,HOTEL VICTOR ROMEO,KETTLE,5,14,1306,0,1,1,0,0.5,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_3,direct,True,1.0,20,36149,HOTEL VICTOR ROMEO,KETTLE,5,14,127,0,1,1,,0.0,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,cot,True,1.0,20,36149,HOTEL VICTOR ROMEO,KETTLE,5,14,1540,0,1,0,0,0.75,0,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_4,direct,True,1.0,20,36149,HOTEL VICTOR ROMEO,KETTLE,5,14,129,0,1,1,,0.0,20,20,0,,,
qwen2.5:7b,5,non-ordered,trivial,cot,True,1.0,20,37114,DELTA TANGO FOXTROT,KETTLE,5,15,661,0,1,1,1,0.75,20,20,1,,,
qwen2.5:7b,5,non-ordered,trivial,direct,True,1.0,20,37114,DELTA TANGO FOXTROT,KETTLE,5,15,142,0,1,1,,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,cot,True,1.0,20,37149,HOTEL MIKE GOLF,ESPRESSO,5,15,1491,0,1,1,1,0.5,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_2,direct,True,1.0,20,37149,HOTEL MIKE GOLF,ESPRESSO,5,15,122,0,1,1,,0.5,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_3,cot,True,1.0,20,37149,HOTEL MIKE GOLF,ESPRESSO,5,15,1176,0,1,1,1,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_3,direct,True,1.0,20,37149,HOTEL MIKE GOLF,ESPRESSO,5,15,125,0,1,1,,0.25,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,cot,True,1.0,20,37149,HOTEL MIKE GOLF,ESPRESSO,5,15,1375,0,1,0,0,0.75,0,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_4,direct,True,1.0,20,37149,HOTEL MIKE GOLF,ESPRESSO,5,15,121,0,1,1,,0.25,20,20,0,,,
qwen2.5:7b,5,non-ordered,trivial,cot,True,1.0,20,38114,FOXTROT OSCAR GOLF,OBELISK,5,12,430,0,1,1,1,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,trivial,direct,True,1.0,20,38114,FOXTROT OSCAR GOLF,OBELISK,5,12,135,0,1,1,,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,cot,True,1.0,20,38149,CHARLIE ROMEO OSCAR,KAYAK,5,11,1224,0,1,1,1,0.75,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,direct,True,1.0,20,38149,CHARLIE ROMEO OSCAR,KAYAK,5,11,124,0,1,1,,0.0,10,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_3,cot,True,1.0,20,38149,CHARLIE ROMEO OSCAR,KAYAK,5,11,1342,0,1,1,1,0.75,15,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_3,direct,True,1.0,20,38149,CHARLIE ROMEO OSCAR,KAYAK,5,11,123,0,1,1,,0.0,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,cot,True,1.0,20,38149,CHARLIE ROMEO OSCAR,KAYAK,5,11,1381,0,1,1,1,0.75,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_4,direct,True,1.0,20,38149,CHARLIE ROMEO OSCAR,KAYAK,5,11,120,0,1,1,,0.5,20,20,0,,,
qwen2.5:7b,5,non-ordered,trivial,cot,True,1.0,20,39114,ZULU QUEBEC DELTA,RAVIOLI,5,12,536,0,1,1,1,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,trivial,direct,True,1.0,20,39114,ZULU QUEBEC DELTA,RAVIOLI,5,12,138,0,1,1,,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,cot,True,1.0,20,39149,INDIA UNIFORM TANGO,KETTLE,5,15,887,0,1,0,0,0.75,0,20,0,,,
